Chamber ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
S05-A11	43566	43894	44234	44651	44940	45253	45531	45763	46026	46236	46455	46651	46868	47056	47225	47380	47533	47667	47802	47913	48003	48152	48232	48330	48405	48466	48529	48582	48631	48708	48737	48780	48840	48875	48898	48933	48952	49002	49033	49068	49067	49076	49088	49107	49115	49146	49123	49108	49114	49107	49088	49108	49079	49055	49078	49048	49049	49042	49009	49025
S06-A11	43656	43983	44313	44615	44949	45201	45487	45715	45982	46237	46478	46697	46895	47098	47252	47403	47571	47709	47844	47959	48080	48155	48285	48375	48463	48526	48600	48677	48731	48848	48898	48942	48967	49007	48994	49013	49061	49068	49087	49124	49124	49143	49143	49167	49179	49178	49206	49263	49266	49263	49255	49263	49259	49245	49223	49192	49202	49219	49167	49160
S07-A11	43349	43689	44048	44369	44715	45001	45291	45565	45780	46038	46246	46473	46635	46819	46990	47154	47322	47463	47578	47709	47828	47928	48019	48122	48197	48259	48508	48585	48647	48697	48741	48787	48827	48887	48888	48932	48993	48990	49029	49040	49053	49091	49075	49113	49119	49141	49141	49148	49141	49133	49136	49113	49117	49077	49064	49066	49056	49030	49019	48990
S08-A11	43740	44084	44448	44748	45091	45361	45632	45896	46130	46365	46564	46769	46967	47143	47346	47512	47635	47756	47900	48019	48129	48227	48315	48416	48469	48533	48713	48742	48807	48867	48905	48973	48990	49030	49063	49106	49126	49144	49192	49200	49209	49229	49223	49232	49256	49268	49284	49278	49253	49251	49242	49236	49282	49219	49191	49180	49222	49218	49188	49178
S09-A11	43264	43613	43931	44250	44548	44842	45098	45397	45616	45845	46122	46330	46501	46700	46891	47066	47206	47362	47481	47616	47702	47831	47907	48038	48268	48372	48439	48501	48564	48607	48697	48739	48738	48801	48825	48871	48886	48926	48940	48968	48981	49014	49034	49029	49053	49064	49051	49076	49070	49060	49065	49071	49048	49030	49028	49021	48977	48968	48939	48931
S10-A11	43505	43845	44196	44550	44871	45271	45542	45811	46080	46311	46535	46712	46921	47107	47274	47441	47595	47735	47870	47998	48102	48227	48305	48412	48499	48560	48652	48687	48751	48804	48862	48889	48930	48993	49025	49042	49077	49094	49128	49152	49159	49173	49209	49227	49226	49230	49228	49215	49237	49218	49204	49186	49182	49173	49152	49154	49149	49104	49123	49123
S11-A11	43781	44086	44558	44864	45199	45486	45757	46013	46246	46483	46665	46887	47067	47254	47442	47590	47721	47877	48004	48122	48198	48306	48387	48472	48529	48604	48665	48712	48893	48943	48969	49007	49068	49106	49133	49147	49050	49066	49101	49117	49148	49171	49162	49173	49183	49311	49316	49306	49312	49292	49275	49292	49278	49269	49239	49248	49228	49191	49175	49123
S12-A11	42743	43081	42185	43721	42771	44286	44553	44807	43770	46119	45447	42689	45851	46034	46185	47213	45127	46602	45348	46836	45532	47035	47093	45964	47460	47509	48853	48891	49012	49005	49107	49123	49167	49214	49248	49293	49286	49342	49369	49370	49404	49090	49437	49408	49446	49400	49171	49452	49426	49407	49390	49383	49408	49404	49101	49367	49079	49290	49284	49229
S01-A12	42015	42325	42680	42965	43302	43582	43839	44137	44377	44636	44860	45044	45263	45453	45619	45772	45934	46075	46208	46322	46463	46640	46721	46802	46935	47015	47104	47178	47220	47247	47278	47348	47385	47422	47474	47496	47515	47520	47622	47688	47710	47710	47720	47737	47750	47701	47711	47721	47733	47710	47706	47695	47698	47697	47668	47676	47662	47631	47640	47627
S02-A12	43010	43334	43655	44005	44282	44553	44802	45093	45324	45559	45806	45977	46172	46356	46534	46684	46835	46980	47106	47255	47344	47513	47539	47694	47780	47851	47931	47979	48059	48096	48172	48196	48231	48298	48334	48341	48392	48434	48440	48434	48486	48508	48495	48532	48539	48552	48557	48548	48534	48555	48549	48486	48427	48415	48431	48390	48403	48359	48368	48356
S03-A12	43161	43497	43844	44133	44453	44734	45028	45279	45543	45785	46033	46237	46413	46604	46848	46961	47128	47266	47443	47556	47676	47791	47902	47995	48089	48182	48241	48336	48378	48430	48503	48542	48548	48641	48657	48671	48737	48748	48766	48780	48798	48816	48836	48821	48878	48880	48879	48857	48860	48869	48861	48860	48837	48789	48807	48766	48751	48767	48734	48699
S04-A12	43891	44310	44652	44973	45280	45582	45850	46114	46396	46579	46804	46993	47214	47377	47539	47678	47828	47973	48109	48236	48325	48457	48556	48644	48708	48810	48848	48942	48971	49002	49096	49130	49169	49215	49243	49259	49310	49330	49345	49379	49394	49402	49414	49429	49413	49431	49424	49441	49436	49420	49438	49413	49419	49364	49369	49343	49346	49338	49292	49362
S05-A12	43929	44260	44594	44918	45227	45521	45782	46033	46269	46508	46705	46941	47107	47305	47462	47615	47757	47897	48019	48156	48250	48351	48465	48536	48619	48688	48749	48790	48868	48909	48951	49015	49052	49073	49126	49148	49175	49225	49242	49253	49281	49275	49303	49299	49282	49327	49314	49325	49315	49311	49309	49291	49278	49257	49269	49227	49213	49204	49184	49171
S06-A12	43980	44307	44651	44961	45277	45570	45838	46106	46341	46558	46818	47005	47216	47388	47565	47740	47883	47999	48161	48273	48403	48487	48583	48660	48747	48826	48902	48954	49027	49080	49124	49161	49227	49249	49296	49332	49342	49376	49386	49408	49434	49458	49465	49464	49493	49487	49492	49556	49555	49556	49541	49560	49525	49444	49531	49484	49483	49463	49452	49445
S07-A12	43771	44100	44445	44784	45146	45464	45717	45988	46222	46475	46654	46850	47042	47242	47425	47568	47719	47861	47987	48118	48249	48330	48437	48551	48628	48665	48751	48813	48964	49028	49062	49116	49137	49187	49241	49145	49207	49218	49246	49256	49289	49293	49319	49328	49341	49447	49320	49437	49442	49440	49433	49421	49398	49401	49375	49344	49350	49332	49316	49283
S08-A12	43873	44243	44550	44877	45170	45447	45682	45962	46205	46454	46678	46869	47051	47266	47424	47560	47727	47846	47998	48111	48205	48418	48480	48568	48650	48710	48785	48841	48907	48944	48986	49040	49052	49118	49125	49179	49197	49215	49258	49264	49292	49289	49316	49338	49338	49339	49345	49312	49347	49321	49315	49296	49287	49265	49255	49249	49243	49211	49212	49155
S09-A12	43401	43793	44071	44398	44829	45113	45430	45721	45953	46192	46416	46645	46875	47031	47265	47411	47577	47690	47860	47969	48095	48196	48307	48389	48470	48576	48628	48672	48749	48819	48840	48880	48949	48983	49013	49035	49088	49074	49107	49125	49157	49178	49179	49185	49203	49210	49214	49215	49180	49195	49223	49177	49175	49144	49155	49119	49130	49118	49105	49064
S10-A12	43900	44239	44613	45076	45390	45711	45955	46212	46474	46703	46921	47131	47290	47487	47658	47812	47954	48083	48210	48334	48427	48520	48622	48706	48774	48844	48910	48965	49074	49115	49157	49199	49240	49271	49325	49293	49385	49399	49445	49449	49492	49494	49512	49501	49527	49528	49513	49505	49517	49488	49472	49471	49453	49452	49410	49421	49407	49377	49346	49328
S11-A12	44053	44401	44865	45185	45478	45767	46021	46269	46494	46733	46943	47122	47331	47524	47690	47838	47990	48129	48256	48365	48464	48552	48644	48729	48779	48830	48900	48949	48965	49031	49133	49167	49146	49248	49298	49256	49287	49332	49348	49424	49415	49400	49402	49489	49447	49430	49494	49413	49605	49455	49600	49598	49569	49545	49552	49546	49522	49498	49492	49457
S12-A12	41894	40731	43668	43970	44278	45440	45752	46026	46250	46493	46724	46903	47100	47308	47455	47640	47783	47936	48059	48166	48268	48386	48728	48830	48901	48967	49041	49109	49175	49216	49263	49312	49377	49398	49413	49469	49497	49520	49545	49531	49590	49571	49601	49615	49644	49634	49635	49636	49635	49617	49623	49621	49590	49580	49568	49564	49547	49526	49506	49478
